region,total_count,tw1,tw2
Algeria,1,1,
Argentina,23,2,12
Australia,150,33,71
Austria,39,7,28
Belgium,123,36,63
Brazil,28,4,14
Bulgaria,7,2,2
Canada,110,7,68
Chile,181,23,107
Colombia,3,,2
Cook Islands,1,,1
Croatia,5,2,2
Czech Republic,49,5,21
Denmark,85,5,52
Egypt,4,,4
England,435,127,206
Estonia,1,,1
Finland,35,2,17
France,156,35,80
Georgia,3,,1
Germany,321,38,201
Greece,22,5,9
Hungary,28,2,15
Iceland,3,,2
India,44,5,21
Iran,14,,11
Ireland,20,2,11
Israel,71,1,41
Italy,143,9,96
Japan,244,64,131
Kazakhstan,5,,3
Lithuania,3,,
Macedonia,1,1,
Malta,1,,
Mexico,21,,18
Mongolia,1,,1
Morocco,21,1,12
Netherlands,80,15,34
New Zealand,88,3,64
Nigeria,2,,1
North Ireland,99,44,41
Norway,3,1,
Peoples R China,150,3,94
Peru,5,,3
Poland,160,20,97
Portugal,38,3,22
Qatar,10,,10
Romania,4,1,
Russia,51,3,21
Saudi Arabia,5,,5
Scotland,123,48,59
Senegal,1,,
Serbia,3,1,2
Slovakia,6,1,2
Slovenia,3,,2
South Korea,133,3,97
Spain,191,42,83
Sri Lanka,1,,
Sweden,54,5,26
Switzerland,118,29,69
Taiwan,24,5,15
Thailand,3,,2
Turkey,13,1,7
U Arab Emirates,10,,7
Ukraine,15,3,5
USA,563,106,299
Uzbekistan,2,,1
Vatican,6,,4
Venezuela,2,,1
Wales,21,1,11
